Histone	LinkerHistone	Acetyltransf_1	GNAT_acetyltr_2	Hat1_N	KAT11	MOZ_SAS	Hist_deacetyl	SIR2	DOT1	SET	SWIRM	CupinJmjC	ADD_ATRX	ADD_DNMT3	BAH	BIR	Bromodomain	Chromo	ING	MBT	MRG	PHD	PWWP	SAWADEE	TTD	TUDOR	zf-CW	YEATS	SNF2_N	ASF1_hist_chap	CAF1A	CHZ	Daxx	Hira	HJURP_mid	NAP	Rtt106	SPT16	SSrecog	zf-CCHH	UBN_AB	Nucleoplasmin	ATF7IP	PA1	Dpy-30	Menin	NCOA6	PTIP	TRRAP	AF9	PCRing	YAF2_RYBP	SAM	SLED	Suz12	CAF1C	Kelch	zf-C2H2	zf-CXXC	WD40
Azolla filiculoides	39	6	30	1	0	5	2	11	5	0	40	9	22	0	0	19	0	22	6	4	0	3	52	12	4	0	1	9	1	33	3	2	0	0	1	0	6	2	0	3	1	1	2	0	0	1	0	0	14	4	0	3	0	7	0	2	7	31	7	0	176
Selaginella moellendorffii	32	9	38	1	0	4	1	14	6	2	92	6	30	2	0	13	0	15	14	2	0	5	47	9	3	0	1	10	1	57	2	2	1	0	2	0	6	2	1	1	0	0	3	0	0	7	0	0	16	4	0	1	0	9	0	1	9	110	17	0	240
Physcomitrella patens	52	14	44	1	1	3	3	11	6	0	55	13	20	1	0	14	0	22	14	2	0	2	61	11	3	0	1	12	2	46	4	1	0	0	2	0	5	2	1	1	2	0	4	0	0	7	0	0	16	4	0	2	0	11	0	3	3	40	16	0	241
Sphagnum fallax	60	20	52	1	1	2	3	12	4	0	72	10	36	2	0	24	0	35	25	9	0	1	123	9	3	0	3	16	2	70	4	2	0	0	2	0	6	2	1	1	0	0	7	0	0	3	0	0	19	7	0	7	0	29	0	1	7	58	19	0	258
Marchantia polymorpha	30	5	26	1	1	1	2	8	3	1	41	5	13	1	0	15	0	13	14	1	0	1	58	6	8	0	1	10	1	32	1	1	0	0	1	0	2	2	1	1	3	0	2	0	0	3	0	0	13	5	0	4	0	5	0	1	3	37	5	0	144
Chara braunii	126	4	21	1	1	1	1	6	4	0	21	3	6	0	0	5	0	11	223	3	0	1	27	3	3	0	1	4	1	28	2	1	0	0	1	0	11	2	1	1	2	0	3	0	0	4	0	0	11	3	0	1	0	7	0	1	3	14	3	0	215
Klebsormidium nitens	34	3	38	1	1	1	2	11	7	0	39	3	19	0	0	7	0	17	17	2	0	1	44	6	1	0	1	5	1	40	1	1	0	0	1	0	4	2	1	1	1	0	2	0	0	4	0	0	13	4	0	0	0	11	0	1	3	24	8	0	153
Chlamydomonas reinhardtii	41	3	46	1	1	1	2	15	3	1	49	2	19	0	0	2	0	13	3	2	0	1	31	5	0	0	1	5	2	30	1	1	1	0	1	0	4	3	1	1	0	0	1	0	0	4	0	0	5	3	0	1	0	9	0	2	2	19	2	0	154
Volvox carteri	34	3	35	1	1	1	2	14	3	2	34	1	16	0	0	2	0	10	3	2	0	1	10	4	0	0	1	4	2	28	1	1	1	0	1	0	3	3	1	1	0	0	1	0	0	2	0	0	4	3	0	1	0	5	0	0	3	19	1	0	145
Ulva mutabilis	15	1	23	1	1	1	2	9	4	1	29	3	16	0	0	2	0	9	5	1	0	1	9	4	0	0	1	4	1	27	1	1	0	0	1	0	0	3	1	2	0	0	1	0	0	3	1	0	5	3	0	0	0	2	0	0	2	10	0	0	116
Caulerpa lentillifera	20	2	23	1	0	1	3	9	4	3	16	2	22	0	0	2	0	13	8	0	0	1	8	2	2	0	1	4	1	13	1	1	0	0	1	0	4	2	1	2	0	0	1	0	0	2	0	0	2	2	0	0	0	2	0	0	2	19	3	0	106
Coccomyxa subellipsoidea	22	3	26	2	1	1	2	12	3	2	33	3	22	0	0	3	0	13	3	2	0	1	20	5	0	0	0	6	1	27	1	1	0	0	1	0	2	2	1	1	0	0	1	0	0	3	1	0	3	3	0	1	0	2	0	1	3	12	0	0	105
Chlorella variabilis	28	1	34	1	1	1	1	11	4	0	25	1	19	0	0	3	0	12	1	2	0	1	20	1	1	0	1	4	2	28	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	7	1	0	0	0	6	0	1	3	12	1	0	111
Ostreococcus tauri	15	1	29	1	1	1	3	8	1	3	26	3	22	0	0	3	0	12	3	2	0	1	14	4	0	0	1	4	1	23	1	1	0	0	1	0	1	3	1	1	0	0	2	0	0	1	0	0	6	3	0	0	0	3	0	2	3	11	1	0	88
Micromonas pusilla	15	2	33	1	1	1	3	10	4	3	36	3	30	1	0	1	0	9	4	1	0	1	21	4	0	0	1	5	1	28	1	0	1	0	1	0	1	2	1	1	0	0	2	0	0	6	0	0	5	3	0	0	0	5	0	1	3	11	5	0	122
Gracilariopsis chorda	13	1	26	1	1	0	2	6	3	0	16	3	10	0	0	1	0	19	9	1	0	1	4	4	0	0	1	1	1	24	1	1	0	0	1	0	1	2	1	1	0	0	1	0	0	1	0	0	7	3	0	0	0	5	0	2	3	7	51	0	110
Chondrus crispus	13	1	17	1	0	0	2	4	4	0	12	3	9	0	0	1	0	10	9	1	0	1	5	2	0	0	1	0	1	21	1	1	0	0	1	0	1	2	1	1	0	0	1	0	0	1	0	0	3	3	0	0	0	1	0	2	2	4	21	0	140
Porphyra umbilicalis	67	1	18	1	1	0	0	2	3	0	9	1	6	0	0	1	0	10	2	0	0	0	0	2	0	0	1	0	0	19	1	1	0	0	1	0	1	2	1	1	0	0	1	0	0	2	0	0	1	3	0	0	0	3	0	2	0	2	44	0	69
Porphyridium purpureum	14	1	25	1	1	0	2	5	5	1	10	2	13	0	0	0	0	15	10	0	0	2	7	12	0	0	0	1	1	19	1	0	0	0	1	0	2	4	1	2	0	0	1	0	0	2	0	0	6	3	0	0	0	2	0	0	2	5	58	0	109
Cyanidioschyzon merolae	12	1	19	1	1	0	1	3	3	0	6	3	4	0	0	1	0	9	1	1	0	1	7	1	0	0	1	0	1	13	1	1	0	0	1	0	0	2	1	1	0	0	1	0	0	1	0	0	2	3	0	0	0	0	0	1	2	1	4	0	57
Cyanophora paradoxa	19	2	7	0	0	0	2	3	1	1	10	1	2	0	0	1	0	5	3	1	0	0	4	4	0	0	0	1	1	18	2	0	0	0	0	0	2	2	0	2	0	0	1	0	0	1	0	0	1	2	0	0	0	8	0	1	1	17	1	0	117
Goniomonas avonlea	18	1	25	1	1	1	3	18	24	5	44	3	48	0	0	2	15	12	9	2	2	3	40	8	0	0	3	3	2	46	1	1	0	0	1	0	5	2	0	2	3	0	3	0	0	5	1	0	12	6	0	4	0	33	0	0	3	48	3	0	265
Guillardia theta	22	0	38	1	2	5	3	13	6	5	54	5	42	0	0	9	13	27	6	1	1	3	19	7	1	0	2	3	2	45	1	1	0	0	1	0	2	1	1	1	1	0	2	0	0	8	0	0	12	3	0	3	0	36	0	1	7	39	4	0	261
Aureococcus anophagefferens	18	0	24	1	0	3	2	7	3	9	25	1	48	0	0	0	0	16	0	0	0	1	7	1	0	0	1	3	1	40	2	1	0	0	0	0	1	3	2	1	0	0	0	0	0	1	0	0	1	3	0	1	0	5	0	1	4	14	0	2	142
Phaeodactylum tricornutum	15	4	33	1	0	4	2	12	7	4	40	1	23	0	0	0	0	25	3	1	0	2	12	3	0	0	1	3	1	23	1	1	0	0	1	0	1	3	1	1	0	0	0	0	0	1	0	0	6	3	0	1	0	2	0	1	2	6	0	1	84
Thalassiosira pseudonana	17	3	29	1	0	3	2	9	8	2	45	1	18	0	0	0	0	17	4	1	0	2	17	0	0	0	1	5	1	26	1	1	0	0	1	0	1	3	1	1	0	0	0	0	0	1	1	0	4	3	0	2	0	2	0	1	2	8	0	3	85
Ectocarpus siliculosus	25	10	28	1	1	4	2	13	4	10	39	1	23	0	0	0	0	33	5	2	0	2	34	5	0	0	1	3	1	37	1	1	0	0	1	0	1	3	1	1	0	0	1	0	0	3	0	0	6	6	0	0	0	16	0	0	2	15	3	3	158
Cladosiphon okamuranus	23	7	109	2	1	4	2	30	6	14	39	3	29	0	0	0	0	39	9	3	0	2	35	4	0	0	1	3	1	58	1	1	1	0	1	0	2	4	1	1	0	0	2	0	0	3	0	0	12	7	0	0	0	20	0	0	1	14	2	6	167
Nannochloropsis gaditana	14	2	23	1	0	0	2	10	4	7	14	1	16	0	0	0	0	15	3	2	0	2	11	3	0	0	1	1	1	26	1	1	0	0	0	0	2	2	1	1	0	0	0	0	0	1	0	0	1	3	0	1	0	0	0	0	2	6	3	0	86
Phytophthora infestans	17	3	28	1	1	4	1	8	3	25	37	2	14	0	0	1	0	21	10	2	0	1	22	6	0	0	1	2	1	26	1	1	0	0	1	0	2	2	1	1	0	0	2	0	0	4	0	0	7	5	0	3	0	15	0	1	3	27	21	1	145
Albugo laibachii	12	2	15	1	2	2	1	4	2	3	14	2	43	0	0	0	0	18	14	1	0	1	20	5	0	0	2	1	1	17	3	1	0	0	1	0	2	2	1	1	0	0	1	0	0	3	0	0	8	5	0	3	0	15	0	1	1	7	4	1	152
Saprolegnia parasitica	19	2	41	1	1	4	2	15	4	9	28	2	19	0	0	1	0	24	8	1	0	1	25	4	0	0	1	2	1	27	3	1	0	0	2	0	1	3	1	2	0	0	2	0	0	3	0	0	11	5	0	5	0	20	0	0	2	18	23	1	165
Schizochytrium aggregatum	26	2	24	1	0	3	3	13	7	2	10	1	24	0	0	0	0	18	3	1	0	1	11	0	0	0	1	1	1	23	1	1	0	0	0	0	1	3	1	2	0	0	1	0	0	2	0	0	4	2	0	0	0	7	0	0	3	9	15	0	194
Hondaea fermentalgiana	16	2	23	1	1	4	3	12	7	6	23	0	31	0	0	2	0	21	7	1	0	1	12	1	0	0	1	1	1	25	1	1	0	0	1	0	1	3	1	1	0	0	1	0	0	5	0	0	5	4	0	0	0	20	0	0	4	9	12	0	262
Aurantiochytrium limacinum	20	1	27	1	1	4	3	12	7	6	23	0	32	0	0	0	0	20	4	1	0	1	13	1	0	0	1	1	1	26	1	1	0	0	1	0	1	3	1	1	0	0	1	0	0	3	0	0	5	3	0	0	0	15	0	0	4	10	14	0	159
Aplanochytrium kerguelense	20	3	26	1	1	3	3	14	11	6	24	0	29	0	0	0	0	24	4	1	0	1	12	4	0	0	2	1	2	23	1	1	0	0	1	0	0	3	1	2	0	0	1	0	0	1	0	0	3	3	0	1	0	15	0	0	4	7	5	0	132
Plasmodium falciparum	12	0	6	1	1	0	1	3	2	0	8	0	3	0	0	0	0	3	3	0	0	0	4	0	0	0	1	1	1	11	1	0	0	0	0	0	2	2	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	4	5	1	0	47
Toxoplasma gondii	12	0	14	1	1	0	2	5	2	2	15	1	7	0	0	0	0	11	3	1	0	0	8	1	0	0	2	2	1	18	1	0	0	0	0	0	3	2	1	1	0	0	1	0	0	4	0	0	2	2	0	1	0	0	0	0	4	6	3	0	75
Eimeria tenella	8	0	7	1	2	0	2	5	1	1	10	1	3	0	0	0	0	9	6	1	0	0	8	0	0	0	1	2	1	21	0	0	0	0	0	0	2	2	1	1	0	0	1	0	0	3	0	0	1	1	0	1	0	1	0	0	4	7	1	0	53
Vitrella brassicaformis	25	5	35	1	6	0	3	12	5	6	42	3	19	0	0	0	0	16	31	3	0	2	31	0	0	0	1	3	1	28	2	0	0	0	0	0	3	2	1	1	0	0	1	0	0	4	0	0	7	2	0	2	0	9	0	0	2	28	2	0	128
Chromera velia	16	1	38	1	1	0	2	9	9	5	44	1	28	0	0	0	0	13	77	2	0	0	10	1	0	0	1	2	3	27	1	1	0	0	0	0	1	2	1	1	1	0	1	0	0	4	0	0	4	1	0	1	0	8	0	0	3	23	4	0	120
Perkinsus marinus	39	15	39	2	0	0	2	13	9	4	30	0	23	0	0	0	0	26	19	0	0	0	11	0	0	0	0	4	2	34	2	2	0	0	0	0	6	4	2	2	2	0	2	0	0	6	0	0	6	2	0	0	0	1	0	0	5	18	1	0	131
Breviolum minutum	13	0	65	5	0	0	0	13	19	15	101	0	97	0	0	0	0	2	4	0	0	0	6	1	0	0	1	0	1	40	1	0	0	0	1	0	2	3	2	1	7	0	3	0	0	4	0	0	7	1	0	0	0	23	0	0	2	60	2	0	138
Symbiodinium microadriaticum	23	0	68	5	0	0	0	8	21	13	93	0	67	0	0	0	0	2	1	0	0	0	5	1	0	0	0	0	3	40	1	0	0	0	0	0	3	0	1	0	6	0	1	0	0	4	0	0	7	1	0	0	0	14	0	0	1	53	10	0	143
Paramecium tetraurelia	33	0	18	1	2	0	1	13	7	2	29	5	22	0	0	15	0	27	38	1	2	0	54	6	0	0	5	0	5	32	9	1	0	0	2	0	16	7	4	3	0	0	3	0	0	22	0	0	11	2	0	2	0	26	0	0	8	74	10	0	536
Tetrahymena thermophila	16	0	24	1	1	0	3	7	12	2	15	1	6	0	0	1	0	13	13	1	0	0	12	1	0	0	2	0	2	18	1	1	0	0	1	0	3	2	1	1	2	0	2	0	0	10	0	0	8	2	0	1	0	4	0	2	3	44	6	0	206
Oxytricha trifallax	28	1	18	1	2	0	2	9	10	4	12	2	15	0	0	2	0	13	8	3	0	0	18	4	0	0	1	0	5	26	1	2	0	0	1	0	3	4	2	2	0	0	1	0	0	21	0	0	8	1	0	1	0	6	0	0	4	81	60	0	177
Reticulomyxa filosa	11	1	22	1	4	0	1	13	5	2	27	3	23	0	0	0	0	19	11	0	3	3	16	2	0	0	4	2	1	32	2	0	0	0	1	0	0	2	1	1	2	0	2	0	0	1	0	0	8	4	0	1	0	83	0	0	3	138	29	0	2268
Bigelowiella natans	24	2	48	2	1	0	4	13	15	15	46	1	64	0	0	2	1	21	10	1	4	1	24	4	0	0	4	7	2	48	2	1	0	0	1	0	5	3	1	1	0	0	1	0	0	4	0	0	14	4	0	3	0	20	0	1	3	59	79	0	156
Plasmodiophora brassicae	17	2	19	1	1	0	2	4	4	1	22	1	10	0	0	0	0	11	17	1	0	1	13	1	0	0	2	3	1	23	2	1	0	0	1	0	1	3	1	2	0	0	1	0	0	2	0	0	7	4	0	2	0	9	0	1	3	10	53	0	134
Emiliania huxleyi	28	1	72	2	0	2	3	29	21	10	67	1	81	0	0	1	0	22	59	0	1	1	46	3	0	0	2	26	2	81	1	0	0	0	0	0	4	3	0	4	8	0	4	0	0	3	0	0	7	5	0	1	0	10	0	2	3	35	19	21	145
Chrysochromulina tobin	19	0	21	1	0	3	3	12	6	3	37	1	48	0	0	3	0	12	28	1	0	1	18	9	0	0	2	3	1	41	2	1	0	0	1	0	4	2	1	1	2	0	1	0	0	4	0	0	4	2	0	2	0	17	0	0	2	16	16	9	159
Pavlovales sp. CCMP2436	23	3	31	1	0	3	2	11	6	3	39	0	27	0	0	1	0	16	44	1	0	1	20	2	0	0	1	1	2	31	2	1	0	0	0	0	2	2	0	0	0	0	1	0	0	5	0	0	7	3	0	2	0	6	0	0	1	21	353	7	109
Hemimastix kukwesjijk	11	0	15	2	0	0	1	1	8	2	6	0	1	0	0	0	0	0	3	1	0	4	6	2	0	0	3	1	1	7	1	0	0	0	0	0	9	0	0	0	3	0	1	0	0	5	0	0	4	1	0	0	0	6	0	1	2	21	2	0	105
Spironema multiciliatum	15	0	23	0	1	0	1	1	9	2	16	0	7	0	0	0	2	2	9	1	0	1	9	2	0	0	0	0	2	7	1	1	0	0	0	0	1	1	0	1	6	0	1	0	0	2	0	0	8	1	0	1	0	4	0	1	0	12	3	0	114
Naegleria gruberi	18	1	38	1	1	0	1	5	17	0	10	2	10	0	0	2	1	7	8	1	0	0	2	1	0	0	1	0	3	26	2	0	2	0	1	0	2	2	1	1	1	0	0	0	0	4	0	0	21	4	0	0	0	13	0	0	1	40	5	0	151
Pharyngomonas kirbyi	13	0	19	1	1	0	1	7	11	1	18	3	13	0	0	1	0	7	7	1	0	1	6	2	0	0	2	0	2	22	3	1	0	0	1	0	2	2	1	1	1	0	2	0	0	4	0	0	16	6	0	0	0	43	0	1	2	84	2	0	202
Amoeba sp. BB2	20	2	40	2	1	0	2	7	18	4	33	6	12	0	0	2	0	23	15	2	0	1	1	4	0	0	2	0	3	36	1	1	0	0	2	0	5	2	1	1	0	0	3	0	0	4	0	0	27	6	0	0	0	9	0	0	3	54	4	0	240
Bodo saltans	5	0	12	1	0	0	4	5	1	3	33	0	10	0	0	0	0	5	1	0	0	1	0	3	0	0	2	1	1	22	3	2	0	0	0	0	5	1	1	1	2	0	2	0	0	7	0	0	5	4	0	0	0	4	0	0	2	19	3	0	124
Trypanosoma cruzi	18	0	16	2	0	0	7	7	4	4	52	0	7	0	0	0	0	9	0	0	0	0	2	5	0	0	1	1	3	22	4	1	0	0	0	0	4	2	1	1	1	0	6	0	0	10	0	0	4	5	0	0	0	3	0	0	3	10	4	0	137
Strigomonas culicis	13	0	10	1	0	0	2	6	6	5	19	0	7	0	0	0	0	4	1	0	0	1	0	2	0	0	1	1	0	10	2	0	0	0	0	0	3	2	2	0	2	0	3	0	0	1	0	0	0	2	0	0	0	2	0	0	4	5	1	0	68
Leishmania major	14	0	12	1	0	0	4	4	3	3	22	0	6	0	0	0	0	4	0	0	0	0	0	1	0	0	1	1	2	17	2	1	0	0	0	0	3	2	1	1	2	0	3	0	0	6	0	0	1	5	0	0	0	0	0	0	3	8	0	0	76
Leptomonas seymouri	5	0	15	1	0	0	4	4	3	3	24	0	6	0	0	0	0	4	0	0	0	0	0	2	0	0	1	1	2	19	2	1	0	0	0	0	3	2	1	1	3	0	3	0	0	6	0	0	0	4	0	0	0	0	0	0	3	8	2	0	79
Stygiella incarcerata	22	1	31	1	1	0	1	6	5	0	12	2	0	0	0	4	0	12	4	1	0	1	5	1	0	0	3	0	1	18	1	0	0	0	1	0	1	1	1	1	0	0	2	0	0	4	0	0	12	4	0	0	0	3	0	2	3	22	9	0	185
Andalucia godoyi	19	2	25	1	1	0	1	6	4	0	16	1	3	0	0	0	0	7	9	1	0	1	5	2	0	0	1	0	1	22	2	1	0	0	0	0	1	2	1	1	0	0	1	0	0	4	0	0	5	3	0	0	0	4	0	0	2	20	2	0	148
Reclinomonas americana	16	3	32	1	1	0	2	7	10	0	20	3	7	0	0	3	1	14	5	1	0	1	5	2	0	0	1	0	1	23	0	1	0	0	0	0	3	1	1	1	0	0	2	0	0	5	0	0	15	4	0	0	0	5	0	0	2	28	6	0	798
Seculamonas sp.	17	1	27	1	1	0	1	7	8	3	12	2	9	0	0	2	1	7	4	1	0	1	7	2	0	0	1	0	1	16	1	1	0	0	1	0	2	2	1	1	1	0	1	0	0	6	0	0	16	3	0	0	0	1	0	0	2	26	7	0	190
Jakoba bahamiensis	17	1	17	2	1	0	1	4	5	0	9	2	10	0	0	1	0	13	4	2	0	1	2	1	0	0	1	0	1	24	1	1	0	0	1	0	3	2	1	1	1	0	2	0	0	6	0	0	10	4	0	0	0	7	0	0	3	27	1	0	216
Jakoba libera	11	1	13	1	1	0	5	6	10	1	10	1	6	0	0	2	2	11	4	1	0	2	4	2	0	0	1	0	2	24	1	1	0	0	1	0	2	2	2	1	1	0	1	0	0	4	0	0	16	4	0	0	0	15	0	0	1	24	8	0	201
Trichomonas vaginalis	11	1	35	1	0	0	12	9	11	0	8	3	0	0	0	1	0	120	35	0	0	1	7	0	0	0	5	0	2	30	1	0	0	0	0	0	0	2	1	1	0	0	15	0	0	8	0	0	11	31	1	0	0	8	0	0	1	18	2	0	194
Carpediemonas membranifera	58	2	25	2	1	1	3	9	8	0	9	2	1	0	0	0	0	15	17	1	0	3	7	1	0	0	1	0	2	9	1	1	0	0	0	0	2	1	1	1	1	0	0	0	0	10	0	0	2	1	0	0	0	8	0	3	1	5	15	0	148
Giardia lamblia	9	0	9	1	0	0	2	1	4	0	6	2	0	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	1	8	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	2	1	0	0	0	2	0	0	2	5	1	0	45
Kipferlia bialata	1	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	23	0	0	6
